enduse,subsector_detail
Air domestic,Air domestic
Air international,Air international
Coastal bunkers,Coastal bunkers
Other transport,Other transport
Rail,Rail
Art. vehicles,Articulated vehicles
Bus,Bus
LCV - large,Light commercial vehicle - large
LCV - medium,Light commercial vehicle - medium
LCV - small,Light commercial vehicle - small
Motorcycle,Motorcycle
Pass - large,Passenger vehicle - large
Pass - medium,Passenger vehicle - medium
Pass - small,Passenger vehicle - small
Rigid trucks,Rigid trucks
Heating,Heating
Hot Water,Hot Water
Other,Other
Appliances,Appliances
Cooking,Cooking
Space cond,Cooling
Space heat,Heating
Water Heating,Hot Water
Cooling,Cooling
Lighting,Lighting
Heating,Heating
IT Equip,IT Equipment
Other,Other
Vert Tra,Vertical transport
Space cool,Cooling
IT and Equipment,IT Equipment
Domestic Hot Water,Hot Water
Space conditioning,Cooling
Water Heating,Hot Water
-,-
International bunkers,International bunkers
