subsector_p_cca,subsector_detail
Alumina,Alumina
Aluminum,Aluminium
Cement+,Cement
Coal mining,Coal mining
Dairy,Dairy
Feed Stock,Biomass production
Food & beverages,Other food and drink products
Forestry and logging,Forestry and logging
Gas export (LNG),Gas export (LNG)
Gas mining,Gas mining
Gas supply,Gas supply
Grains and Other Agriculture,Grains and other agriculture
Iron and Steel,Iron and steel
Manufacturing,Manufacturing
Non-metallic construction materials (not cement and lime),Non-metallic construction materials (not cement)
Oil mining,Oil mining
Other animals,Other animals
Other metal product manufacturing,Other metal products
Other mining,Other mining
PetChem,Petrochemical manufacturing
Petroleum refinery,Petroleum refinery
Refridgeration and aircon,Refridgeration and aircon
Sheep and cattle,Sheep and cattle
Waste,Waste
